date,sppg_name,location,region,victim_count,source,notes
2025-01-16,SPPG Dukuh,SDN Dukuh 03 Sukoharjo,Jawa Tengah,10,Tempo,Insiden pertama tercatat sejak program MBG dimulai 6 Januari 2025
2025-02-18,SPPG Sumba Timur,SD Katolik Andaluri,Nusa Tenggara Timur,29,Tempo,
2025-02-18,SPPG Empat Lawang Tebing Tinggi Tanjungkupang,Empat Lawang,Sumatera Selatan,8,Kompas (rekap BGN),
2025-04-21,SPPG Cianjur,MAN 1 dan SMP PGRI 1 Cianjur,Jawa Barat,176,Tempo,Ditetapkan sebagai Kejadian Luar Biasa (KLB)
2025-04-23,SPPG Bombana,SDN 33 Kasipute,Sulawesi Tenggara,53,Tempo,53 dari 1026 kotak makanan ditemukan tidak layak konsumsi
2025-05-05,SPPG PALI Talang Ubi Handayani Mulya,PALI,Sumatera Selatan,172,Kompas (rekap BGN),
2025-08-22,SPPG Indragiri Hilir Tembilahan Hilir,Indragiri Hilir,Riau,28,Kompas (rekap BGN),
2025-08-26,SPPG Tulang Bawang Mataram Baru,Tulang Bawang,Lampung,27,Kompas (rekap BGN),
2025-08-27,SPPG Bengkulu Lebong Sakti Lemeu Pit,Lebong,Bengkulu,467,Kompas (rekap BGN),Tempo melaporkan 427 korban -- ada selisih kecil antar sumber
2025-08-28,SPPG Kota Palu Selatan Tatura Utara,Palu Selatan,Sulawesi Tengah,20,Kompas (rekap BGN),
2025-09-02,SPPG Menang Raya Pedamanran,Pedamanran,Sumatera Selatan,76,Kompas (rekap BGN),
2025-09-03,SPPG Lombok Tengah Pringgarata Murbaya,Lombok Tengah,Nusa Tenggara Barat,65,Kompas (rekap BGN),
2025-09-16,SPPG Al Bayyinah,Kadungora Garut,Jawa Barat,657,Tempo,Dapur SPPG ditutup sementara pasca insiden
2025-09-17,SPPG Banggai Kepulauan Tingangkung,Banggai Kepulauan,Sulawesi Tengah,339,Kompas (rekap BGN),Disebabkan supplier ikan cakalang baru
