date,sppg_name,location,region,victim_count,source,notes
2024-10-02,,Kabupaten Nganjuk - SDN Banaran I,Jawa Timur,7,Wikipedia,
2025-01-14,,Kabupaten Indramayu - TBA,Jawa Barat,6,Wikipedia,
2025-01-16,,Kabupaten Sukoharjo - SDN Dukuh 03 Sukoharjo,Jawa Tengah,50,Wikipedia,Insiden pertama sejak MBG dimulai 6 Januari 2025
2025-01-19,,Kabupaten Pandeglang - SDN 2 Alaswangi,Banten,28,Wikipedia,
2025-02-18,SPPG Sumba Timur,SD Katolik Andaluri,Nusa Tenggara Timur,29,Tempo,
2025-02-18,SPPG Empat Lawang Tebing Tinggi Tanjungkupang,Empat Lawang,Sumatera Selatan,8,Kompas (rekap BGN),
2025-04-14,,"Kabupaten Batang - SDN 5 Proyonanggan, TK Islam Al Karomah",Jawa Tengah,60,Wikipedia,
2025-04-21,SPPG Cianjur,MAN 1 dan SMP PGRI 1 Cianjur,Jawa Barat,176,Tempo,Ditetapkan sebagai Kejadian Luar Biasa (KLB)
2025-04-23,SPPG Bombana,SDN 33 Kasipute,Sulawesi Tenggara,53,Tempo,53 dari 1026 kotak makanan ditemukan tidak layak konsumsi
2025-04-24,,Kabupaten Karanganyar - SD Wonorejo,Jawa Tengah,2,Wikipedia,Plus 1 Kepala Sekolah
2025-04-29,,Kota Bandung - SMP Negeri 35 Bandung,Jawa Barat,342,Wikipedia,
2025-05-01,,"Kabupaten Tasikmalaya - Beberapa Sekolah TK, SDN 1/2 Rajapolah, SMPN 1 Rajapolah",Jawa Barat,400,Wikipedia,
2025-05-05,SPPG PALI Talang Ubi Handayani Mulya,PALI,Sumatera Selatan,172,Kompas (rekap BGN),
2025-05-07,,"Kota Bogor - TK-SD-SMP-SMA Bosowa Bina Insani, SDN Kukupu 3, SDN Kedung Waringin, SDN Kedung Jaya 1-2, SMP Bina Greha",Jawa Barat,223,Wikipedia,
2025-06-17,,Kabupaten Kulon Progo - TK Aisyiyah Bustanul Athfal (ABA) Kasatriyan,DI Yogyakarta,10,Wikipedia,
2025-07-31,,"Kabupaten Kulon Progo - SMPN 2 Wates, SMP Muhammadiyah 2 Wates, SD Triharjo, SD Sogan",DI Yogyakarta,497,Wikipedia,
2025-07-31,,Kabupaten Kuningan - SMPN 1 Cilimus,Jawa Barat,30,Wikipedia,
2025-08-06,,"Kabupaten Sukabumi - SDN Puncak Batu, MI Cikadu, PAUD di Cipamingkis",Jawa Barat,32,Wikipedia,
2025-08-11,,"Kabupaten Sragen - SD Negeri 3-4 Gemolong, SD Negeri Gemolong, SMP Negeri 1-2-3 Gemolong, TBA",Jawa Tengah,251,Wikipedia,
